,tweet_id,timestamp,rating_numerator,rating_denominator,retweet_count,favorite_count,month,year
1166,703774238772166656,2016-02-28 02:50:28+00:00,10,10,404,1701,2,2016
1167,703769065844768768,2016-02-28 02:29:55+00:00,10,10,1019,3009,2,2016
1168,703631701117943808,2016-02-27 17:24:05+00:00,11,10,600,2357,2,2016
1169,703611486317502464,2016-02-27 16:03:45+00:00,10,10,1379,3540,2,2016
1171,703407252292673536,2016-02-27 02:32:12+00:00,10,10,623,2254,2,2016
1172,703382836347330562,2016-02-27 00:55:11+00:00,12,10,1026,3214,2,2016
1174,703268521220972544,2016-02-26 17:20:56+00:00,12,10,494,1826,2,2016
1175,703079050210877440,2016-02-26 04:48:02+00:00,11,10,2796,6799,2,2016
1176,703041949650034688,2016-02-26 02:20:37+00:00,10,10,11285,24299,2,2016
1178,702899151802126337,2016-02-25 16:53:11+00:00,12,10,411,1479,2,2016
1179,702684942141153280,2016-02-25 02:42:00+00:00,11,10,962,2971,2,2016
1180,702671118226825216,2016-02-25 01:47:04+00:00,10,10,506,2015,2,2016
1181,702598099714314240,2016-02-24 20:56:55+00:00,11,10,3128,11306,2,2016
1182,702539513671897089,2016-02-24 17:04:07+00:00,12,10,864,2636,2,2016
1183,702332542343577600,2016-02-24 03:21:41+00:00,13,10,1384,2928,2,2016
1184,702321140488925184,2016-02-24 02:36:23+00:00,12,10,948,3018,2,2016
1185,702276748847800320,2016-02-23 23:39:59+00:00,11,10,694,2276,2,2016
1187,701981390485725185,2016-02-23 04:06:20+00:00,12,10,888,3151,2,2016
1188,701952816642965504,2016-02-23 02:12:47+00:00,11,10,927,3536,2,2016
1189,701889187134500865,2016-02-22 21:59:57+00:00,11,10,1254,3240,2,2016
1190,701805642395348998,2016-02-22 16:27:58+00:00,11,10,1503,3112,2,2016
1191,701601587219795968,2016-02-22 02:57:08+00:00,10,10,415,1923,2,2016
1193,701545186879471618,2016-02-21 23:13:01+00:00,10,10,549,2447,2,2016
1194,701214700881756160,2016-02-21 01:19:47+00:00,12,10,4626,11257,2,2016
1195,700890391244103680,2016-02-20 03:51:05+00:00,11,10,509,2035,2,2016
1196,700864154249383937,2016-02-20 02:06:50+00:00,12,10,555,2394,2,2016
1197,700847567345688576,2016-02-20 01:00:55+00:00,10,10,449,2268,2,2016
1199,700747788515020802,2016-02-19 18:24:26+00:00,11,10,8414,20987,2,2016
1200,700518061187723268,2016-02-19 03:11:35+00:00,10,10,721,2385,2,2016
1201,700505138482569216,2016-02-19 02:20:14+00:00,12,10,521,2100,2,2016
1203,700167517596164096,2016-02-18 03:58:39+00:00,10,10,652,2424,2,2016
1204,700151421916807169,2016-02-18 02:54:41+00:00,11,10,607,2051,2,2016
1205,700143752053182464,2016-02-18 02:24:13+00:00,10,10,2427,6905,2,2016
1207,700029284593901568,2016-02-17 18:49:22+00:00,10,10,528,1912,2,2016
1209,699801817392291840,2016-02-17 03:45:29+00:00,11,10,846,2770,2,2016
1210,699788877217865730,2016-02-17 02:54:04+00:00,12,10,469,2056,2,2016
1211,699779630832685056,2016-02-17 02:17:19+00:00,10,10,1104,2499,2,2016
1212,699775878809702401,2016-02-17 02:02:25+00:00,11,10,538,1800,2,2016
1214,699446877801091073,2016-02-16 04:15:05+00:00,12,10,2394,5498,2,2016
1215,699434518667751424,2016-02-16 03:25:58+00:00,12,10,464,2022,2,2016
1216,699423671849451520,2016-02-16 02:42:52+00:00,10,10,287,1250,2,2016
1217,699413908797464576,2016-02-16 02:04:04+00:00,11,10,569,1928,2,2016
1218,699370870310113280,2016-02-15 23:13:03+00:00,11,10,391,1747,2,2016
1219,699323444782047232,2016-02-15 20:04:36+00:00,10,10,783,2891,2,2016
1222,699072405256409088,2016-02-15 03:27:04+00:00,12,10,1076,2710,2,2016
1223,699060279947165696,2016-02-15 02:38:53+00:00,12,10,1614,3420,2,2016
1224,699036661657767936,2016-02-15 01:05:02+00:00,13,10,1088,2397,2,2016
1225,698989035503689728,2016-02-14 21:55:47+00:00,13,10,876,3075,2,2016
1226,698953797952008193,2016-02-14 19:35:46+00:00,11,10,824,2478,2,2016
1227,698907974262222848,2016-02-14 16:33:40+00:00,10,10,553,2333,2,2016
1228,698710712454139905,2016-02-14 03:29:49+00:00,10,10,616,2263,2,2016
1230,698635131305795584,2016-02-13 22:29:29+00:00,12,10,312,1199,2,2016
1232,698355670425473025,2016-02-13 03:59:01+00:00,10,10,394,1701,2,2016
1233,698342080612007937,2016-02-13 03:05:01+00:00,11,10,868,2073,2,2016
1234,698262614669991936,2016-02-12 21:49:15+00:00,11,10,1793,4391,2,2016
1236,698178924120031232,2016-02-12 16:16:41+00:00,10,10,674,2586,2,2016
1237,697995514407682048,2016-02-12 04:07:53+00:00,11,10,305,1408,2,2016
1238,697990423684476929,2016-02-12 03:47:39+00:00,11,10,1167,3011,2,2016
1239,697943111201378304,2016-02-12 00:39:39+00:00,10,10,613,2196,2,2016
1240,697881462549430272,2016-02-11 20:34:41+00:00,10,10,1054,2774,2,2016
1242,697616773278015490,2016-02-11 03:02:54+00:00,11,10,921,2890,2,2016
1243,697596423848730625,2016-02-11 01:42:02+00:00,11,10,1131,2769,2,2016
1246,697482927769255936,2016-02-10 18:11:03+00:00,11,10,598,2232,2,2016
1248,697270446429966336,2016-02-10 04:06:43+00:00,10,10,1712,4339,2,2016
1250,697255105972801536,2016-02-10 03:05:46+00:00,10,10,1052,2842,2,2016
1251,697242256848379904,2016-02-10 02:14:42+00:00,10,10,615,2324,2,2016
1252,696900204696625153,2016-02-09 03:35:31+00:00,12,10,933,2913,2,2016
1254,696886256886657024,2016-02-09 02:40:05+00:00,12,10,1625,4441,2,2016
1256,696754882863349760,2016-02-08 17:58:03+00:00,10,10,328,1371,2,2016
1257,696744641916489729,2016-02-08 17:17:22+00:00,10,10,833,1887,2,2016
1259,696518437233913856,2016-02-08 02:18:30+00:00,10,10,1561,3629,2,2016
1261,696488710901260288,2016-02-08 00:20:23+00:00,12,10,925,2304,2,2016
1263,696100768806522880,2016-02-06 22:38:50+00:00,10,10,584,1773,2,2016
1264,695816827381944320,2016-02-06 03:50:33+00:00,11,10,1051,2755,2,2016
1265,695794761660297217,2016-02-06 02:22:53+00:00,13,10,706,2914,2,2016
1266,695767669421768709,2016-02-06 00:35:13+00:00,13,10,664,1706,2,2016
1268,695446424020918272,2016-02-05 03:18:42+00:00,12,10,1649,4087,2,2016
1269,695409464418041856,2016-02-05 00:51:51+00:00,10,10,3235,7976,2,2016
1270,695314793360662529,2016-02-04 18:35:39+00:00,10,10,1295,3331,2,2016
1271,695095422348574720,2016-02-04 04:03:57+00:00,12,10,550,2450,2,2016
1272,695074328191332352,2016-02-04 02:40:08+00:00,11,10,990,2602,2,2016
1276,694905863685980160,2016-02-03 15:30:43+00:00,10,10,834,2532,2,2016
1277,694669722378485760,2016-02-02 23:52:22+00:00,12,10,13053,32955,2,2016
1278,694356675654983680,2016-02-02 03:08:26+00:00,10,10,250,1386,2,2016
1279,694352839993344000,2016-02-02 02:53:12+00:00,10,10,539,1877,2,2016
1280,694342028726001664,2016-02-02 02:10:14+00:00,11,10,431,1460,2,2016
1282,694206574471057408,2016-02-01 17:11:59+00:00,10,10,1848,3810,2,2016
1284,694001791655137281,2016-02-01 03:38:15+00:00,11,10,923,3135,2,2016
1285,693993230313091072,2016-02-01 03:04:14+00:00,12,10,357,1731,2,2016
1286,693942351086120961,2016-01-31 23:42:03+00:00,10,10,328,1619,1,2016
1288,693644216740769793,2016-01-31 03:57:23+00:00,10,10,115,1264,1,2016
1290,693629975228977152,2016-01-31 03:00:47+00:00,12,10,719,2256,1,2016
1291,693622659251335168,2016-01-31 02:31:43+00:00,10,10,336,1417,1,2016
1293,693582294167244802,2016-01-30 23:51:19+00:00,11,10,222,1515,1,2016
1294,693486665285931008,2016-01-30 17:31:20+00:00,11,10,565,1623,1,2016
1295,693280720173801472,2016-01-30 03:52:58+00:00,10,10,1121,3082,1,2016
1296,693267061318012928,2016-01-30 02:58:42+00:00,12,10,731,2197,1,2016
1297,693262851218264065,2016-01-30 02:41:58+00:00,11,10,452,2042,1,2016
1299,693155686491000832,2016-01-29 19:36:08+00:00,12,10,2890,7255,1,2016
1300,693109034023534592,2016-01-29 16:30:45+00:00,11,10,549,1560,1,2016
1301,693095443459342336,2016-01-29 15:36:45+00:00,10,10,404,1698,1,2016
1303,692905862751522816,2016-01-29 03:03:25+00:00,10,10,790,2232,1,2016
1304,692901601640583168,2016-01-29 02:46:29+00:00,10,10,536,1612,1,2016
1305,692894228850999298,2016-01-29 02:17:12+00:00,10,10,713,2080,1,2016
1306,692828166163931137,2016-01-28 21:54:41+00:00,12,10,795,2653,1,2016
1307,692752401762250755,2016-01-28 16:53:37+00:00,13,10,3294,6267,1,2016
1308,692568918515392513,2016-01-28 04:44:32+00:00,12,10,1392,4029,1,2016
1309,692535307825213440,2016-01-28 02:30:58+00:00,10,10,1232,2901,1,2016
1310,692530551048294401,2016-01-28 02:12:04+00:00,10,10,368,1697,1,2016
1313,692187005137076224,2016-01-27 03:26:56+00:00,12,10,744,2332,1,2016
1314,692158366030913536,2016-01-27 01:33:08+00:00,10,10,718,1970,1,2016
1315,692142790915014657,2016-01-27 00:31:15+00:00,13,10,354,1510,1,2016
1316,692041934689402880,2016-01-26 17:50:29+00:00,13,10,1130,3116,1,2016
1319,691793053716221953,2016-01-26 01:21:31+00:00,10,10,3820,7481,1,2016
1320,691756958957883396,2016-01-25 22:58:05+00:00,10,10,884,2597,1,2016
1321,691675652215414786,2016-01-25 17:35:00+00:00,10,10,459,1795,1,2016
